	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
am0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	9	10	13	12	10	19	22	22	16	10	18	13	14	11	15	20	16	16	13	15	21	12	12	16	16	21	21	13	15	17	17	15	23	33	24	18	20	21	16	26	23	21	24	26	19	27	506
am0094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	8	7	6	6	3	3	3	2	10	5	6	8	8	8	8	7	7	6	10	4	8	8	6	8	10	10	12	10	10	6	16	9	6	9	11	10	11	8	11	14	7	10	8	17	10	218
am0095	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	10	10	7	8	17	16	13	14	14	12	23	16	17	10	15	12	13	14	14	12	17	16	25	25	12	18	20	20	14	31	25	24	16	19	17	20	18	14	21	25	24	28	19	16	21	24	21	418
am0096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	11	9	10	11	7	10	15	15	17	17	14	15	26	15	11	17	9	9	14	15	13	22	22	20	24	23	23	14	20	18	24	13	21	23	12	22	12	24	29	16	26	23	41	37	15	38	431
am0097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	7	7	5	4	5	8	4	5	5	16	12	10	5	4	8	6	7	6	6	9	7	8	11	11	12	7	12	12	12	12	9	8	15	12	7	7	10	12	9	10	15	13	19	7	16	18	11	226
am0098	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	8	8	8	3	10	13	6	7	7	11	16	8	19	16	19	9	13	10	10	16	17	7	24	24	17	29	27	27	21	21	22	21	22	22	10	11	21	23	19	31	32	34	21	21	18	26	20	383
am0099	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	4	10	12	5	3	5	6	6	7	3	7	3	9	13	14	11	19	19	7	11	7	11	11	15	6	11	11	14	4	4	12	13	13	8	23	17	20	6	8	12	13	8	15	16	17	14	262
am0100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	3	6	7	5	12	4	6	8	8	5	3	7	11	9	8	11	10	18	18	13	12	9	7	7	12	21	7	7	14	3	12	13	15	9	14	19	10	21	11	22	15	8	13	15	14	19	20	267
am0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	3	6	8	7	7	7	7	12	11	18	5	6	5	2	3	3	3	9	10	5	5	14	18	6	6	7	14	20	7	7	9	12	5	7	5	13	21	7	8	15	13	24	9	17	212
am0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	10	6	4	5	14	16	16	8	10	13	6	20	11	11	13	7	7	13	8	16	14	14	11	11	20	20	8	12	8	24	6	21	22	11	15	9	11	12	17	23	11	26	14	10	27	374
am0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	3	4	6	6	7	9	9	7	4	6	6	8	10	5	9	11	11	11	8	9	13	13	10	11	7	7	13	5	9	8	11	12	10	12	13	21	7	14	12	16	10	11	9	14	12	253
am0104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	0	0	1	1	3	0	1	0	2	2	3	1	3	3	0	1	0	2	2	0	0	2	2	7	0	0	1	8	3	2	5	3	2	0	0	4	2	4	2	0	8	2	53
am0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	1	0	2	2	2	4	1	5	2	2	0	1	2	5	5	2	2	3	0	0	3	4	2	2	2	1	2	2	3	1	2	5	1	6	5	4	3	2	7	3	4	4	5	68
am0106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	4	7	7	8	11	4	15	15	15	16	5	14	8	10	10	12	6	6	11	10	11	14	14	6	15	12	12	15	18	19	12	15	13	20	10	12	15	24	21	17	14	14	9	15	17	11	336
