	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
am0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	1	2	2	4	0	3	0	0	0	0	1	0	0	0	0	0	1	4	4	5	0	3	0	0	1	4	0	0	0	1	2	0	4	2	2	2	4	4	0	0	6	2	2	4	1	10	10	6	2	3	2	1	7	4	3	28
am0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	3	0	2	2	2	2	2	2	0	2	0	0	0	3	2	0	0	2	0	2	4	0	0	4	2	15
am0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	5	5	4	1	5	4	3	1	1	2	2	1	1	2	3	2	2	6	1	1	5	1	3	2	3	7	1	8	1	8	2	3	3	4	2	2	2	5	5	4	2	10	9	14	11	7	2	2	4	12	10	10	8	13	7	10	80
am0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	5	5	3	2	2	2	6	6	1	6	6	6	3	3	5	5	2	4	2	2	0	9	9	7	10	8	5	3	1	12	5	6	2	7	6	5	11	10	10	10	9	9	7	12	8	10	7	8	11	10	10	12	10	18	10	12	13	16	22	113
am0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	5	5	2	9	4	2	5	10	10	2	2	7	3	5	2	4	4	6	6	6	2	7	10	4	2	7	7	8	3	5	8	10	6	9	8	8	8	11	11	16	8	7	9	17	14	12	17	17	13	13	13	12	15	11	17	19	108
am0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	3	3	1	3	7	2	6	6	6	2	2	7	5	3	7	5	5	3	8	8	4	11	7	6	4	3	10	9	9	4	12	11	5	9	10	10	10	7	7	10	15	12	9	11	11	8	8	8	15	11	18	13	15	14	18	22	131
am0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	4	1	4	4	1	2	1	7	4	1	1	7	7	5	2	4	2	3	3	9	0	0	7	3	2	3	10	12	1	9	3	9	10	14	6	12	12	12	12	16	16	3	5	24	9	20	23	6	15	15	19	11	27	18	17	36	21	32	112
am0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	4	4	4	2	2	1	3	1	1	5	5	2	4	8	4	6	6	1	4	4	3	5	3	9	9	1	4	5	4	2	3	7	10	6	7	7	7	3	3	4	10	8	10	11	19	10	10	10	7	12	20	10	18	14	11	24	104
am0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	2	2	1	3	5	3	2	4	4	6	6	2	6	3	3	5	5	3	8	8	5	7	3	6	10	3	9	4	7	3	4	9	6	2	8	8	8	13	13	9	9	12	7	11	17	10	4	4	8	7	14	20	17	17	19	19	109
am0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	9	9	0	2	3	4	5	3	3	3	3	9	3	4	5	5	5	4	5	5	4	6	3	7	5	5	6	12	4	10	10	10	6	9	12	12	12	12	12	9	6	23	11	14	20	14	12	12	13	15	16	13	14	32	16	20	117
am0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	17	10	10	22	21	13	11	20	22	22	14	14	10	13	20	13	14	14	17	32	32	21	21	28	22	19	23	34	20	20	17	20	25	31	36	25	25	25	36	36	32	34	38	30	38	34	37	38	38	50	33	45	46	35	57	62	55	468
am0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	4	4	2	2	1	4	7	3	3	4	4	2	2	2	4	2	2	3	3	3	8	2	7	2	6	5	3	8	2	7	4	6	3	9	6	6	6	11	11	3	3	4	7	3	10	10	5	5	13	9	11	9	15	6	13	20	86
am0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	7	7	1	0	1	1	1	2	2	2	2	3	2	3	1	2	2	1	8	8	3	7	1	2	3	1	8	2	4	1	3	1	4	2	5	5	5	2	2	2	8	7	10	10	16	7	9	9	3	11	10	3	13	11	5	13	67
am0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	4	11	11	9	6	9	3	10	5	5	4	4	2	9	11	6	14	14	7	2	2	7	3	11	18	6	7	5	10	15	12	4	13	14	20	13	13	13	22	22	12	7	28	11	19	25	22	24	24	24	13	23	28	30	35	29	37	212
am0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	7	7	9	3	10	9	9	9	9	8	8	10	8	8	6	9	9	10	16	16	5	14	9	10	11	14	17	7	11	8	14	14	12	20	20	19	19	14	14	15	21	17	14	18	12	14	18	18	28	16	27	22	30	22	26	37	214
am0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	7	2	2	2	3	1	5	9	4	0	0	6	6	8	5	2	4	4	4	7	4	4	10	6	4	5	10	11	5	8	8	9	10	10	3	6	5	5	5	12	12	0	7	18	13	8	3	2	9	9	11	14	11	14	10	19	18	16	123
am0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	6	6	5	5	5	7	5	4	4	4	4	7	7	6	4	4	4	7	6	6	10	10	8	7	8	10	7	6	8	8	9	11	13	5	12	12	12	12	12	7	14	12	6	11	12	8	16	16	14	8	27	13	26	16	23	33	134
am0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	2	1	2	2	1	2	1	1	2	2	1	0	2	4	2	2	1	3	3	2	1	3	2	3	1	3	2	0	4	2	2	2	0	0	0	0	0	0	1	3	9	1	0	10	0	3	3	0	2	1	2	2	10	2	2	41
am0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	15	15	6	3	5	3	10	6	6	14	14	8	15	9	5	13	13	8	11	11	11	19	10	13	14	9	14	12	21	10	8	15	19	15	20	20	20	16	16	12	23	18	16	19	15	36	18	18	19	19	34	18	32	29	33	45	248
