	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98
am0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	1	1	0	0	1	0	1	0	0	2	2	1	1	1	5	3	4	4	0	4	2	4	1	5	2	2	2	0	2	0	8	3	2	3	2	2	3	4	4	9	4	3	1	2	7	3	3	5	7	8	7	1	9	9	5	10	7	7	2	32
am0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	0	2	0	0	1	2	4	5	7	2	2	3	2	8	2	3	6	4	4	4	4	1	6	3	5	5	3	0	0	3	2	8	6	3	4	6	7	8	5	3	3	2	5	6	6	6	2	8	7	10	7	9	11	10	5	4	8	6	2	18	8	41
am0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	2	1	5	2	1	1	1	2	0	0	0	4	5	0	0	0	1	2	2	0	0	4	4	0	2	0	4	1	0	2	4	4	3	1	2	2	1	8	5	22
am0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	2	5	4	1	4	4	5	5	7	4	4	1	2	7	3	5	5	8	4	6	2	13	8	1	4	4	7	3	2	3	3	9	4	7	4	7	6	6	9	7	5	7	7	7	3	15	11	3	6	11	8	8	8	10	5	9	13	10	62
am0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	2	3	3	4	4	5	4	0	3	3	2	0	0	4	5	7	5	4	4	5	6	6	3	7	5	6	5	5	4	4	4	9	4	4	3	5	2	4	5	5	6	6	7	7	4	6	6	10	7	5	2	4	7	6	11	9	11	4	5	9	50
am0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	4	1	0	0	0	2	1	0	0	2	0	0	3	2	2	4	0	3	2	6	6	0	5	6	3	5	1	5	2	2	7	0	2	1	5	4	3	4	0	7	12	12	5	8	8	7	3	1	3	5	2	12	7	3	7	7	5	7	9	4	3	7	35
am0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	3	3	4	3	4	4	2	6	6	2	7	2	3	5	6	5	2	2	6	3	3	4	5	5	4	8	8	4	2	5	6	6	6	6	3	3	4	4	4	10	5	6	4	11	11	6	11	16	1	7	14	4	8	6	5	14	15	14	12	56
am0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	1	0	0	2	2	0	2	0	5	3	8	6	3	3	2	1	1	3	4	3	6	0	0	3	0	3	3	6	6	1	0	0	6	5	5	2	0	2	5	1	8	8	0	1	6	6	2	8	1	5	2	4	4	2	8	22
am0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	1	1	1	1	0	3	8	1	1	3	2	1	1	1	4	1	1	8	6	1	3	3	0	1	11	2	2	4	4	4	8	4	4	4	2	2	5	9	4	3	12	6	4	9	3	5	9	3	1	2	7	6	7	8	30
am0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	2	2	1	7	6	5	2	2	0	2	7	3	8	6	6	6	6	3	2	3	4	3	5	4	5	5	7	10	5	2	2	7	12	3	9	4	6	6	6	9	5	9	5	4	6	5	6	9	9	5	10	5	8	6	7	8	7	10	52
am0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	6	1	1	0	0	1	1	0	3	3	0	0	0	3	3	3	6	0	2	0	6	4	3	2	0	2	0	3	4	0	12
am0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	4	0	2	3	3	7	1	2	3	3	1	1	3	0	6	2	3	6	2	4	4	3	5	6	0	0	2	4	1	1	5	2	2	8	5	4	2	4	6	4	11	11	4	3	12	4	3	2	6	3	5	4	2	9	5	2	6	7	10	11	9	5	26
am0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	3	3	2	1	0	1	1	0	1	0	0	4	0	0	1	0	3	1	0	0	0	0	1	4	0	4	2	2	0	0	2	2	1	2	1	0	5	3	1	2	3	1	2	3	0	1	4	4	0	3	4	0	11
am0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	4	4	4	8	8	3	10	5	1	1	2	4	8	10	2	1	2	7	7	1	5	3	5	8	4	10	9	9	7	10	15	5	7	5	3	2	9	10	5	5	7	11	6	5	8	9	20	9	6	7	19	12	7	8	10	12	16	9	14	14	51
am0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
am0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	3	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	2	6
am0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	1	1	1	1	0	0	0	3	3	1	3	0	0	0	3	4	0	0	3	1	3	2	2	0	0	1	1	2	0	3	3	5	0	5	1	0	2	0	0	3	7	6	3	2	0	3	2	0	0	1	2	3	5	8	6	5	3	3	4	20
am0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	1	1	1	2	1	1	0	4	3	1	4	3	4	5	5	1	1	4	2	1	4	1	2	2	9	2	2	3	4	2	4	0	2	9	7	7	3	7	6	2	6	3	2	3	2	0	4	2	4	7	1	6	5	1	5	6	37
am0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	4	2	1	1	1	5	4	4	2	3	4	4	6	0	3	2	5	8	7	7	7	5	3	7	2	3	8	3	2	2	11	6	6	9	5	9	13	11	7	9	1	1	20	9	9	11	5	15	7	7	7	12	17	6	15	10	16	6	22	17	10	17	69
am0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	3	1	0	0	2	0	2	1	0	4	2	3	3	0	0	0	3	3	3	1	3	3	2	1	6	5	1	2	1	6	3	0	1	1	1	1	3	3	3	4	6	5	2	6	4	2	4	2	2	2	5	10	2	7	17
